1.0	easy	SELECT Count(*) FROM log2 WHERE log2.idcase = 'terminal'	SELECT count(*) FROM log1 WHERE activity = 'Closed'	2667	2667	nan	nan	*Original	original	Quantas atividades fechadas temos?	How many closed activities do we have?	"SELECT count(*) FROM log1 WHERE activity=""Closed"""	Quantas atividades 'fim da viagem' temos?	How many activities 'end trip' do we have?	SELECT count(*) FROM events_log WHERE activity = 'End trip'	S	eventos	nan
43.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	"Informe o nome das atividades em que o recurso ""Priscilla"" atuou e quantos eventos estão associados a elas com existência de custo."	"Inform the name of the activities in which the resource ""Priscilla"" acted and how many events are associated with them with the existence of a cost."	SELECT resource,count(idevent) FROM log_numero4 WHERE resource = 'Priscila' AND costevent IS NOT NULL GROUP BY resource	"Informe o nome das atividades em que o recurso ""Diana"" atuou e quantos eventos estão associados a elas com existência de custo."	"Inform the name of the activities in which the resource ""Diana"" acted and how many events are associated with them with the existence of a cost."	SELECT activity, count(*) FROM events_log WHERE resource = 'Diana'  AND cost IS NOT NULL GROUP BY activity	S	atividade	nan
44.0	medium	SELECT Count(DISTINCT log1.resource) FROM log1 GROUP BY log1.resource HAVING Count(*) > 'terminal'	SELECT idcase, count(DISTINCT idevent), count(DISTINCT resource) FROM log3 GROUP BY idcase HAVING count(DISTINCT idevent) > 3	2721	2721	nan	nan	Original	nan	Quantos resources atuam em um case que contém mais de 3 eventos?	How many resources work on a case that contains more than 3 events?	select idcase, count(distinct idevent) as qtn_events, count(distinct resource) as qnt_resources from log3_excerpt15 group by idcase having count(distinct idevent) > 3	 	nan	select idcase, count(distinct resource) from events_log group by idcase having count(*) > 3	S	recurso	Nesse enunciado temos uma questão de verbo estar no presente e passado. Além disso, a interpretação do enunciado é ambigua de certa forma. Interpretei como listar todos os casos e a quantidade de recursos que participaram nele.
45.0	hard	SELECT log1.resource FROM log1 UNION SELECT log1.resource FROM log2 WHERE log2.activity = 'terminal'	SELECT DISTINCT resource FROM log3 WHERE activity IN (SELECT activity FROM log3 WHERE activity LIKE '%DECLINED%')	2722	2722	nan	nan	Original	nan	Quais resources são responsáveis pela atividade de declined?	Which resources are responsible for the declined activity?	select DISTINCT resource from log3_excerpt15 where activity in ( select activity from log3_excerpt15 where activity like '%DECLINED%' )	"Quais recursos são responsáveis pela atividade ""declaração rejeitada pelo pré-aprovador""?"	"What resources are responsible for the activity ""declaration rejected by pre-approver""?"	select DISTINCT resource from events_log where activity = 'Declaration rejected by pre-approver'	S	recurso	nan
46.0	medium	SELECT Count(*) FROM log3 JOIN log1 WHERE log1.idcase = 'terminal' AND log1.startdatetime BETWEEN 'terminal' AND 'terminal'	SELECT count(*) FROM log6 WHERE startdatetime BETWEEN '2012-01-01' AND '2012-05-30' AND activity = 'Closed'	2723	2723	nan	nan	*Original (uso da semântica no nome da atividade)	nan	Quantos casos fechados existem no log de eventos entre os meses 01 e 05 de 2012?	How many closed cases are there in the event log between the 1st and 5th of 2012	select count(*) as closed_cases from log6_excerpt28 where startdatetime between '2012-01-01' and '2012-05-30' and activity = 'Closed'	"Quantos casos passaram pela atividade ""declaração final aprovada pelo diretor"" entre os meses 01 e 05 de 2017?"	"How many cases went through the activity ""declaration final approved by director"" between the 1st and 5th month of 2017?"	select count(DISTINCT idcase) from events_log where timestamp between '2017-01-01' and '2017-06-01' and activity = 'Declaration final approved by director'	S	casos	nan
47.0	hard	SELECT log1.idcase FROM log1 WHERE log1.resource = 'terminal' EXCEPT SELECT log1.idcase FROM log1 WHERE log1.costevent = 'terminal'	SELECT * FROM log6 WHERE resource = 'Hineesh' EXCEPT SELECT * FROM log6 WHERE startdatetime BETWEEN '2012-01-01' AND '2012-02-01'	2724	2724	nan	nan	Original (não está formulada de forma precisa)	nan	Quais cases o resource Hineesh trabalhou, menos os cases que ocorrem em janeiro	Which cases resource Hineesh worked, except the cases that occur in January	select * from log6_excerpt28 where resource = 'Hineesh' except select * from log6_excerpt28 where startdatetime between '2012-01-01' and '2012-02-01'	Liste os casos nos quais o recurso Charles trabalhou, desconsiderando aqueles que possuem pelo menos um evento ocorrendo em janeiro de 2018.	List the cases that the Charles resource worked on, excluding those that have at least one event occurring in January of 2018.	select  idcase from events_log where resource = 'Charles' except select idcase from events_log where timestamp between '2018-01-01' and '2018-02-01'	S	casos	nan
48.0	medium	SELECT log2.idcase FROM log2 GROUP BY log2.idcase HAVING Count(*) > 'terminal'	SELECT idcase, count(idevent) FROM log6 GROUP BY idcase HAVING COUNT(idevent) > 3	2725	2725	nan	nan	Original	nan	Casos que contém mais de 3 atividades	Cases containing more than 3 activities	select idcase, count(idevent) as qtn_events from log6_excerpt29 GROUP BY idcase HAVING COUNT(idevent) > 3	 	nan	select idcase from events_log GROUP BY idcase HAVING COUNT(DISTINCT activity) > 3	S	casos	Similar a 2681 e 2689
49.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Casos que contém mais de 3 eventos	Cases containing more than 3 events	select idcase, count(idevent) as qtn_events from log6_excerpt29 GROUP BY idcase HAVING COUNT(idevent) > 3	 	nan	select idcase from events_log GROUP BY idcase HAVING COUNT(*) > 3	S	casos	Similar a 2681 e 2689
50.0	medium	SELECT Sum(log6.idcase), log2.idcase FROM log6 GROUP BY log2.idcase	SELECT idcase, max(startdatetime), min(startdatetime), (max(startdatetime) - min(startdatetime)) FROM log6 GROUP BY idcase	2726	2726	nan	nan	Original	nan	Tempo total aproximado para cada case	Approximate total time for each case	select idcase, max(startdatetime) as max_start_date, min(startdatetime) as min_start_date, max(startdatetime) - min(startdatetime) as total_time from log6_excerpt29 group by idcase	 	nan	nan	N	casos	Verificar como realizar esta consulta de diferença de data. Realizar a diferença não funcionou.
51.0	extra	SELECT log1.resource FROM log2 UNION SELECT log2.idcase FROM log1	SELECT DISTINCT idcase, resource FROM log6 WHERE idcase NOT IN (SELECT DISTINCT T0.idcase FROM log6 as T0 join log6 AS T1 on T0.idcase = T1.idcase where T0.resource != T1.resource)	2734	2734	nan	nan	Original	nan	Quais casos tiveram o mesmo recurso alocado para todas as suas atividades? Quem era o recurso?	Which cases had the same resource allocated for all their activities? Who was the resource?	SELECT DISTINCT t.idcase,t.resource FROM log6_excerpt30 t WHERE resource = ALL (SELECT resource FROM log6_excerpt30 WHERE idcase = t.idcase);	 	nan	SELECT idcase, resource from events_log group by idcase HAVING COUNT(DISTINCT resource)  = 1	S	casos	nan
52.0	medium	SELECT log1.idcase FROM log1 WHERE log2.idcase = 'terminal' AND log6.enddatetime BETWEEN 'terminal' AND 'terminal'	SELECT * FROM log5 WHERE activity = 'Closed' AND startdatetime BETWEEN '2011-01-01 00:00:00' AND '2012-12-31 23:59:59'	2735	2735	nan	nan	Original	nan	Quais casos chegaram na atividade 'Closed' entre 2011 e 2012?	Which cases got in the 'Closed' activity between 2011 and 2012?	SELECT * FROM log5_excerpt23 WHERE activity = 'Closed' AND startdatetime BETWEEN '2011-01-01 00:00:00' AND '2012-12-31 23:59:59';	Quais casos chegaram na atividade 'fim da viagem' entre 2016 e 2017?	Which cases got in the 'end trip' activity between 2016 and 2017?	SELECT DISTINCT idcase FROM events_log WHERE activity = 'End trip' AND timestamp BETWEEN '2016-01-01' AND '2018-01-01'	S	casos	nan
53.0	extra	SELECT log1.activity FROM log1	SELECT * FROM log5 WHERE activity LIKE '%assign%' OR activity LIKE '%Assign%'	2736	2736	nan	nan	*Original - mal formulada	nan	"Listar todos os logs de atividades relacionadas a atribuição (""assign"" no nome)"	"List all assignment-related (""assign"" in the name) activities in the log"	SELECT * FROM log5_excerpt23 WHERE activity LIKE '%assign%' OR activity LIKE '%Assign%'	"Apresente todas as informações sobre eventos que envolvam a execução de uma atividade com ""rejeitada"" no nome."	"Show all information about events that involve the execution of an activity with ""rejected"" in its name."	SELECT * FROM events_log WHERE activity LIKE '%rejected%' 	S	eventos	nan
54.0	medium	SELECT Min(log1.costevent), Max(log1.costevent), Max(log1.costevent) FROM log1 WHERE log1.idcase = 'terminal' GROUP BY log1.idcase	SELECT idcase, MIN(costevent), MAX(costevent) FROM log8 GROUP BY idcase HAVING MAX(costevent) > 0	2737	2737	nan	nan	"*Original - o sentido está ok mas achei que ""válido"" fica implícito ser maior que 0."	 	Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo válido preenchido para reembolso	List the minimum and maximum costs recorded for each case that had a valid maximum cost filled in for reimbursement	SELECT idcase,MIN(costevent),MAX(costevent) FROM log8_excerpt37 GROUP BY idcase HAVING MAX(costevent) > 0	 	nan	SELECT idcase, MIN(cost), MAX(cost) FROM events_log GROUP BY idcase HAVING MAX(cost) > 0	S	casos	nan
55.0	extra	SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal' OR log1.costevent = 'terminal' UNION SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal'	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime FROM log8 as INI JOIN log8 as FIM ON INI.idcase = FIM.idcase WHERE INI.idevent != FIM.idevent AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8 WHERE idcase = INI.idcase) AND FIM.activity = 'Declaration REJECTED by EMPLOYEE' OR FIM.activity = 'Payment Handled' OR FIM.activity = 'End trip'	2738	2738	nan	nan	Original (considerando que apenas uma informação é devolvida)	nan	Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente ao final da viagem ('End trip') e até possíveis atividades finais de rejeição ('Declaration REJECTED by EMPLOYEE') ou de pagamento entregue ('Payment Handled')	Show how long it took from the first event of a case to the event referring to the end of the trip ('End trip') and to possible final activities of rejection ('Declaration REJECTED by EMPLOYEE') or payment delivering ('Payment Handled')	SELECT FIM.enddatetime - INI.enddatetime AS elapsedtime FROM log8_excerpt37 INI, log8_excerpt37 FIM WHERE INI.idevent <> FIM.idevent AND INI.idcase = FIM.idcase AND FIM.activity IN ('Declaration REJECTED by EMPLOYEE', 'Payment Handled', 'End trip') AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8_excerpt37 WHERE idcase = INI.idcase)	 	nan	nan	N	casos	Precisa rever como realizar essas consultas que envolvem diferença de timestamp
56.0	extra	SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal' OR log1.costevent = 'terminal' UNION SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal'	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime FROM log8 as INI JOIN log8 as FIM ON INI.idcase = FIM.idcase WHERE INI.idevent != FIM.idevent AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8 WHERE idcase = INI.idcase) AND FIM.activity = 'Declaration REJECTED by EMPLOYEE' OR FIM.activity = 'Payment Handled' OR FIM.activity = 'End trip'	nan	nan	nan	nan	nova consulta	nan	Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente ao final da viagem ('End trip') e até possíveis atividades finais de rejeição ('Declaration REJECTED by EMPLOYEE') ou de pagamento entregue ('Payment Handled'). Ainda, informe o caso e a atividade tratada como final nesse contexto.	Show how long it took from the first event of a case to the event referring to the end of the trip ('End trip') and to possible final activities of rejection ('Declaration REJECTED by EMPLOYEE') or payment delivering ('Payment Handled'). Furthermore, list the case and the activity deemed final in this context.	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime AS elapsedtime FROM log8_excerpt37 INI, log8_excerpt37 FIM WHERE INI.idevent <> FIM.idevent AND INI.idcase = FIM.idcase AND FIM.activity IN ('Declaration REJECTED by EMPLOYEE', 'Payment Handled', 'End trip') AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8_excerpt37 WHERE idcase = INI.idcase)	 	nan	nan	N	casos	Precisa rever como realizar essas consultas que envolvem diferença de timestamp, similar ao enunciado anterior.
57.0	easy	SELECT log1.resource FROM log1 WHERE log1.activity = 'terminal'	SELECT * FROM log6 WHERE activity IN ('Closed')	2741	2741	nan	nan	Original	nan	Há algum registro de atividade 'Closed' no log? Se sim, mostrar dados do evento.	Are there any records of 'Closed' activity in the log? If yes, show event data.	SELECT * FROM log6_excerpt27 WHERE activity IN ('Closed')	Existem registros da atividade 'requisição de pagamento' no log de eventos? Se sim, mostre os dados dos eventos associados aos registros.	Are there records of activity 'request payment' in the event log? If yes, show the event data associated with the records	SELECT * FROM events_log WHERE activity='Request payment'	S	eventos	nan
58.0	medium	SELECT Avg(log3.enddatetime), log2.activity FROM log2 GROUP BY log2.activity	SELECT T0.ACTIVITY, AVG(T0.ENDDATETIME - T1.ENDDATETIME) FROM LOG8 as T0 JOIN LOG8 as T1 ON T0.IDCASE = T1.IDCASE AND T0.IDEVENT = T1.IDEVENT + 1 GROUP BY T0.activity	2743	2743	nan	nan	"Original imprecisa - não existe ""tipo de atividade"""	nan	Qual o tempo de duração médio de cada tipo de atividade?	What is the average time duration of each type of activity?	SELECT ACTIVITY, AVG(DURATION) FROM (SELECT LOG1.ACTIVITY, LOG1.ENDDATETIME - LOG2.ENDDATETIME AS DURATION FROM PUBLIC.LOG8_EXCERPT40 LOG1 JOIN PUBLIC.LOG8_EXCERPT40 LOG2 ON LOG1.IDCASE = LOG2.IDCASE AND LOG1.IDEVENT = LOG2.IDEVENT + 1) AS ACTIVITY_DURATIONS GROUP BY ACTIVITY;	 	nan	nan	N	atividade	Precisa rever como realizar essas consultas que envolvem diferença de timestamp
59.0	extra	SELECT log3.idcase FROM log3 ORDER BY log3.costevent Desc LIMIT 1	SELECT DISTINCT IDCASE, COSTEVENT FROM log8 WHERE COSTEVENT = (SELECT MAX(COSTEVENT) FROM log8)	2744	2744	nan	nan	Original	nan	Qual o caso com maior custo?	What is the case with the highest cost?	SELECT DISTINCT IDCASE, COSTEVENT FROM PUBLIC.LOG8_EXCERPT40 WHERE COSTEVENT = (SELECT MAX(COSTEVENT) FROM PUBLIC.LOG8_EXCERPT40);	 	nan	nan	N	casos	Precisa rever quando ajustar os custos por evento. Atualmente o log de eventos está custo do caso e funcionaria, no entanto essa informação é repetida para todos os eventos relacionados aquele caso.
60.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Qual é o evento com maior custo?	What is the event with the highest cost?	 	 	nan	SELECT max(cost) FROM events_log	S	eventos	nan
61.0	medium	SELECT log1.activity FROM log1 WHERE log1.activity = 'terminal'	SELECT * FROM log8 WHERE activity LIKE 'Start trip'	2745	2745	nan	nan	"Original - o uso de ""status"" como sinônimo de atividade não está correto"	 	Quais atividades existem com status 'Start trip'?	What activities exist with 'Start trip' status?	select * from public.log8_excerpt40 where activity like 'Start trip'	Liste os eventos, com seus atributos, que se referem à atividade 'início de viagem'	nan	select * from events_log where activity = 'Start trip'	S	eventos	nan
62.0	medium	SELECT Count(*) FROM log2	SELECT activity, count(*) FROM log8 GROUP BY activity	2746	2746	nan	nan	Original - ok mas não esta precisa	nan	Qual total de registros por atividades?	What total records by activities?	select activity, count(*) from public.log8_excerpt40 group by activity	 	nan	select activity, count(*) from events_log group by activity	S	atividade	Similar a 2679 e a nova consulta. No entanto, nessa não há ordenação.
63.0	medium	SELECT * FROM log2 ORDER BY log2.costevent Asc	SELECT costevent, activity FROM log2 ORDER BY costevent	2748	2748	nan	nan	Original - a ideia é ok, mas acho que a requisição não faz sentido	nan	Qual o custo de cada registro de atividade ordenado pelo costevent?	What is the cost of each activity record ordered by costevent?	select costevent , activity from public.log2_excerpt9 order by costevent;	 	nan	select cost, activity from events_log order by cost	S	eventos	Realmente, não parece ter muito propósito esse enunciado
64.0	medium	SELECT log1.activity FROM log1 WHERE log5.costevent = 'terminal'	SELECT * FROM log3 WHERE activity LIKE '%A_S'	2750	2750	nan	nan	Original - está incompleta e imprecisa	nan	Busque todas as com a descrição _SUBMITTED-COMPLETE	Fetch all activities with A_SUBMITTED-COMPLETE description.	SELECT * FROM log3_excerpt15 WHERE activity LIKE '%A_S'	"Liste todos os eventos, e seus atributos, que estão associados as atividades ''permissão""."	List all the events, along with their attributes, that are associated to the activities 'permit'.	SELECT * FROM events_log WHERE activity LIKE '%Permit%'	S	eventos	Alterado levemente a consulta.
65.0	easy	SELECT Max(log1.costevent) FROM log1 ORDER BY log1.costevent Desc LIMIT 1	SELECT MAX(costevent) FROM log8	2753	2753	nan	nan	*Original	nan	Qual o maior valor de custo de evento entre todas as atividades apresentadas no log?	What is the highest event cost value among all activities presented in the log?	SELECT MAX(costevent) AS MaxCost FROM log8_excerpt40;	 	nan	SELECT MAX(cost) FROM events_log	S	eventos	Similar a nova consulta da 2744
66.0	hard	SELECT log1.idcase FROM log1 WHERE log1.idcase = 'terminal' INTERSECT SELECT log1.idcase FROM log1 WHERE log1.idcase = 'terminal'	SELECT idcase FROM log5 WHERE resource = 'Carrie' INTERSECT SELECT idcase FROM log5 WHERE resource = 'Tomas'	2754	2754	nan	nan	Original	nan	Quais são os casos em que tanto Carrie quanto Tomas participam?	What are the cases in which both Carrie and Tomas take part?	SELECT idcase FROM public.log5 WHERE resource = 'Carrie' INTERSECT SELECT idcase FROM public.log5 WHERE resource = 'Tomas';	Recupere os casos em que tanto o recurso Sara quanto o recurso Thomas participaram.	Retrieve the cases where both the resource Sara and the resource Thomas participated.	SELECT idcase FROM events_log WHERE resource = 'Sara' INTERSECT SELECT idcase FROM events_log WHERE resource = 'Thomas'	S	casos	nan
67.0	extra	SELECT Count(*), log1.resource FROM log1 GROUP BY log1.resource	SELECT COUNT(*), activity, resource FROM log2 WHERE activity = 'decisao' GROUP BY activity, resource	2756	2756	nan	nan	Original	nan	Quantas atividades marcadas com 'Decisão' temos repetidamente para cada recurso disponível?	How many activities labeled with 'Decisão' do we have repeatedly for each resource available?	SELECT COUNT(*), activity, resource FROM log2_excerpt9 WHERE activity='Decisão' Group by activity, resource	Quantas atividades marcadas com 'declaração rejeitada pela administração' foram executadas por cada recurso?	How many activities marked with 'declaration rejected by administration' were executed by each resource?	SELECT COUNT(*), resource FROM events_log WHERE activity='Declaration rejected by administration' GROUP BY resource	S	recurso	nan
68.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quantas atividades marcadas com 'decisão' foram executadas por cada recurso em cada caso?	 	fazer o sql	Quantas atividades marcadas com 'declaração rejeitada pela administração' foram executadas por cada recurso em cada caso?	How many activities marked with 'declaration rejected by administration' were executed by each resource in each case?	SELECT COUNT(*), resource, idcase FROM events_log WHERE activity='Declaration rejected by administration'  GROUP BY idcase, resource	S	casos	nan
69.0	medium	SELECT Avg(log2.costevent), log2.enddatetime FROM log2 INTERSECT SELECT log2.enddatetime FROM log2 WHERE log2.enddatetime = 'terminal'	SELECT AVG(costevent) FROM log8 WHERE activity != 'Start trip' AND activity != 'End trip'	2758	2758	nan	nan	Original	nan	"Qual a média de Custo do Evento para atividades diferentes de ""Start trip"" e ""End trip""?"	"What is the average Event Cost for activities different from ""Start trip"" and ""End trip""?"	"SELECT AVG(costevent) FROM public.log8_excerpt38 WHERE activity NOT IN (""Start trip"", ""End trip"");"	 	nan	SELECT AVG(cost) FROM events_log WHERE activity != 'Start trip' AND activity != 'End trip'	S	eventos	Achei um pouco esquisito esse enunciado
70.0	medium	SELECT log7.costevent FROM log1 ORDER BY log2.costevent Desc LIMIT 1	SELECT * FROM log8 ORDER BY costevent DESC LIMIT 5	2759	2759	nan	nan	Original - o enunciado não pede os atributos, então fiz uma nova consulta que seria exatamente a recuperação do ID	nan	Quais os 5 eventos de maior custo?	What are the 5 highest cost events?	SELECT TOP 5 * FROM public.log8_excerpt38 ORDER BY costevent DESC;	 	nan	SELECT * FROM events_log ORDER BY cost DESC LIMIT 5	S	eventos	Essa consulta também tem um problema se tiver mais de 5 eventos que tem o maior custo. Deveríamos trazer esses outros eventos?
71.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quais os 5 eventos de maior custo?	What are the 5 highest cost events?	SELECT TOP 5 idevent FROM public.log8_excerpt38 ORDER BY costevent DESC;	nan	nan	SELECT * FROM events_log ORDER BY cost DESC LIMIT 5	S	eventos	Essa consulta também tem um problema se tiver mais de 5 eventos que tem o maior custo. Deveríamos trazer esses outros eventos?
72.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quais são os casos que possuem mais do que um evento.	nan	SELECT idcase COUNT(*) FROM idcase GROUP BY idcase HAVING COUNT(*) > 1;	nan	nan	SELECT idcase FROM events_log GROUP BY idcase HAVING COUNT(*) > 1	S	casos	Similar a 2681, 2689 e a nova consulta da 2725
73.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Em quais casos há mais do que uma ocorrência de atividade?	nan	nan	nan	nan	SELECT idcase FROM events_log GROUP BY idcase HAVING COUNT(*) > 1	S	casos	Similar a 2681, 2689 e a nova consulta da 2725
74.0	medium	SELECT * FROM log1 WHERE log1.enddatetime >= 'terminal' AND log1.enddatetime <= 'terminal'	SELECT * FROM log8 WHERE enddatetime = '2011-10-01' OR enddatetime = '2011-10-02'	2761	2761	nan	nan	Original - imprecisa	nan	"Quais os registros que ocorrem nas datas ""2011-10-01"" e ""2011-10-02""?"	"What records occur on the dates ""2011-10-01"" and ""2011-10-02""?"	"SELECT * FROM public.log8_excerpt38 WHERE enddatetime IN (""2011-10-01"", ""2011-10-02"");"	"Quais os eventos, e seus atributos, que ocorreram nas datas ""2018-10-01"" e ""2018-10-02""?"	"What events, and their attributes, occurred on the dates ""2018-10-01"" and ""2018-10-02""?"	SELECT * FROM events_log WHERE timestamp BETWEEN '2018-10-01' AND '2018-10-03'	S	eventos	Pode ser que o modelo não utilize o operador BETWEEN
75.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quais os eventos, e seus atributos, que ocorreram em um de outubro de 2011 e dois de outubro de 2011? 	nan	nan	Quais os eventos, e seus atributos, que ocorreram em um de outubro de 2018 e dois de outubro de 2018?	What events, and their attributes, occurred on October 1, 2018 and October 2, 2018?	SELECT * FROM events_log WHERE timestamp BETWEEN '2018-10-01' AND '2018-10-03'	S	eventos	nan
76.0	medium	SELECT log2.resource FROM log1 WHERE log1.activity LIKE 'terminal'	SELECT * FROM log4 WHERE resource LIKE 'M%'	2764	2764	nan	nan	"Original - imprecisa (usar a nomenclatura ""registro"" é muito técnico e da área de BD"	 	"Quais registros de Recursos que iniciam com a letra ""M""?"	"Which Resource records start with the letter ""M""?"	SELECT * FROM public.log4_excerpt18 WHERE resource LIKE 'M%';	 	nan	SELECT * FROM events_log WHERE resource LIKE 'M%'	S	eventos	nan
77.0	medium	SELECT log1.activity FROM log1 GROUP BY log1.activity HAVING Count(*) > 'terminal'	SELECT activity, COUNT(idcase) FROM log1 GROUP BY activity HAVING COUNT(idcase) > 5	2766	2766	nan	nan	Original - não está precisa e o SQL está errado	nan	Quais as atividades com mais de 5 registros?	What activities have more than 5 records?	SELECT activity, COUNT(idcase) AS Contador FROM public.log1_excerpt1 GROUP BY activity HAVING COUNT(idcase) > 5;	 	nan	SELECT activity, COUNT(*) FROM events_log GROUP BY activity HAVING COUNT(*) > 5	S	atividade	Similar a 2679 e 2746
78.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quais atividades foram executadas mais do que cinco vezes por caso?	 	SELECT activity, COUNT(idcase) AS Contador FROM public.log1_excerpt1 GROUP BY activity HAVING COUNT(idcase) > 5;	Quais atividades foram executadas mais do que três vezes por caso?	What activitites get executed more than 3 times per case?	SELECT DISTINCT activity FROM events_log GROUP BY activity, idcase HAVING count(activity) > 3	S	atividade	nan
79.0	easy	SELECT Count(*) FROM log1 WHERE log1.idcase = 'terminal'	SELECT count(*) FROM log8 WHERE idcase IN ('declaration 56300')	2769	2769	nan	nan	Original	nan	"Quantos eventos ocorreram para o case ""declaration 56300"" ?"	"How many events has the case ""declaration 56300""?"	*select * from AUTORIZAÇÃO OU REEMBOLSO PARA VIAGEM ACADÊMICA where 'declaration 56300' in (idcase) count (idevent)	 	nan	SELECT count(*) FROM events_log WHERE idcase='declaration 56300'	S	eventos	nan
80.0	medium	SELECT Count(*) FROM log1 WHERE log1.activity = 'terminal' GROUP BY log1.activity HAVING Count(*) > 'terminal'	SELECT COUNT(idevent), activity FROM log1 WHERE enddatetime < '2016-03-08T00:00:00.000Z' GROUP BY activity HAVING COUNT(idevent) > 1	2771	2771	nan	nan	Original - conceitualmente errada	nan	Qual o número de incidentes com o estado da atividade que tem enddatetime mais antigo que 08/03/2016, incluindo somente aqueles com mais de 1 evento?	What's the number of incidents with their activity state that have enddatetime older than 08/03/2016, including only those with more than 1 event?	SELECT COUNT(idevent), activity FROM log_table WHERE enddatetime < 2016-03-08T00:00:00.000Z GROUP BY activity HAVING COUNT(idevent) > 1;	Informe as atividades que foram executadas mais de uma vez antes de 10/01/2017, e quantas vezes elas foram executadas.	Take activities that were performed mora than once before 01-10-2017 and how many times they were performed	SELECT COUNT(*), activity FROM events_log WHERE timestamp < '2017-01-10' GROUP BY activity HAVING COUNT(*) > 1	S	atividade	nan
81.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Em quantos casos cada recurso atuou?	nan	nan	nan	nan	SELECT COUNT(DISTINCT idcase), resource FROM events_log GROUP BY resource	S	recurso	nan
82.0	nan	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quantas vezes um recurso atuou?	nan	nan	nan	nan	SELECT COUNT(*), resource FROM events_log GROUP BY resource	S	recurso	Similar a 2669, 2674 e nova consulta da 2676
83.0	hard	SELECT log1.idcase FROM log1 WHERE log1.costevent = 'terminal' UNION SELECT log1.idcase FROM log1 WHERE log1.costevent = 'terminal'	SELECT * FROM log3 WHERE resource = '112' OR resource = '11002' OR resource = '11179'	2773	2773	nan	nan	Original	nan	Quais os casos onde o recurso é 112, 11002 ou 11179?	What's the cases where the resource is 112, 11002 or 11179?	SELECT * FROM Log_table WHERE resource IN ('112', '11002', '11179');	Quais são os casos nos quais trabalharam o recurso Thomas, Diana ou Sara?	What are the cases in which resource Thomas, Diana ou Sara worked?	SELECT DISTINCT idcase FROM events_log where resource='Thomas' OR resource='Diana' OR resource='Sara'	S	casos	Fiz uma consulta no qual os 3 recursos aparecem em um mesmo caso
84.0	medium	SELECT Count(*) FROM log1 WHERE log1.startdatetime BETWEEN 'terminal' AND 'terminal'	SELECT COUNT(idevent), resource FROM log6 WHERE startdatetime BETWEEN '2012-05-01T00:00:00.000Z' AND '2012-06-01T00:00:00.000Z' GROUP BY resource	2775	2775	nan	nan	Original - formulação ruim	nan	Quantos casos cada recurso tem que iniciaram entre 1/5/2012 e 1/6/2012?	How many cases each resource has that started between 1/5/2012 and 1/6/2012?	"SELECT COUNT(idevent), resource FROM Log_table WHERE startdatetime BETWEEN ""2012-05-01T00:00:00.000Z"" AND ""2012-06-01T00:00:00.000Z"" GROUP BY Country;"	Liste o número de casos ocorridos entre 1/5/2017 e 1/6/2017 aos quais cada recurso foi associado.	List the number of cases that occurred between 5/1/2017 and 6/1/2017 which each resource was associated.	SELECT COUNT(DISTINCT idcase), resource FROM events_log WHERE timestamp between '2017-05-01' and '2017-06-01' GROUP BY resource	S	casos	nan
85.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	A quantos casos, cujo algum evento ocorreu entre 1/5/2012 e 1/6/2012, cada recurso está associado?	nan	nan	A quantos casos, cujo algum evento ocorreu entre 1/5/2017 e 1/6/2017, cada recurso est√° associado?	How many cases, whose event occurred between 5/1/2017 and 6/1/2017, each resource are associated with?	SELECT COUNT(DISTINCT idcase), resource FROM events_log WHERE timestamp between '2017-05-01' and '2017-06-01' GROUP BY resource	S	casos	nan
