	Classificação Spider	Statement SQL gerado automaticamente	Statement SQL gerado pelo humano (corrigido?)	Id	Id	Acerto/errou	wh-question	Com asterisco = errada		Consulta em português	Consulta em inglês	Statement em SQL gerado pelo humano	Consulta em português no domínio de declaração de viagem internacional	Consulta em inglês no domínio de declaração de viagem internacional	Statement em SQL gerado pelo humano no domínio de declaração de viagem internacional	Revisado_1	Pré-classificação conceitual	Comentário
																		
50	medium	SELECT Sum(log6.idcase), log2.idcase FROM log6 GROUP BY log2.idcase	SELECT idcase, max(startdatetime), min(startdatetime), (max(startdatetime) - min(startdatetime)) FROM log6 GROUP BY idcase	2726	2726			Original		Tempo total aproximado para cada case	Approximate total time for each case	select idcase, max(startdatetime) as max_start_date, min(startdatetime) as min_start_date, max(startdatetime) - min(startdatetime) as total_time from log6_excerpt29 group by idcase	Tempo total aproximado para cada caso			N	casos	Verificar como realizar esta consulta de diferença de data. Realizar a diferença não funcionou.
	medium									Quanto tempo durou cada caso?	How long did each case last?	select idcase, max(startdatetime) - min(startdatetime) as total_time from log6_excerpt29 group by idcase	 					
	medium									Calcule a duração aproximada de cada caso.	Calculate the approximate duration of each case.	(boa ideia)	 					
	medium									Qual é a duração de cada caso?	What is the duration of each case?		 					
	medium									Informe a duração de cada um dos casos.	Inform the duration of each case.		 					
																		
51	extra	SELECT log1.resource FROM log2 UNION SELECT log2.idcase FROM log1	SELECT DISTINCT idcase, resource FROM log6 WHERE idcase NOT IN (SELECT DISTINCT T0.idcase FROM log6 as T0 join log6 AS T1 on T0.idcase = T1.idcase where T0.resource != T1.resource)	2734	2734			Original		Quais casos tiveram o mesmo recurso alocado para todas as suas atividades? Quem era o recurso?	Which cases had the same resource allocated for all their activities? Who was the resource?	SELECT DISTINCT t.idcase,t.resource FROM log6_excerpt30 t WHERE resource = ALL (SELECT resource FROM log6_excerpt30 WHERE idcase = t.idcase);	Quais casos tiveram o mesmo recurso alocado para todas as execuções de suas atividades e qual era o recurso?		SELECT idcase, resource from events_log group by idcase HAVING COUNT(DISTINCT resource)  = 1	S	casos	
	extra							parece boa, só dei uma refinadinha		Quais casos tiveram o mesmo recurso alocado para todas as execuções de suas atividades e qual era o recurso?	Which cases had the same resource allocated for all executions of their activities and what was the resource?	 	 					
	extra									Quais casos tiveram o mesmo recurso alocado para todas as execuções de suas atividades, e quem era o recurso?	Which cases had the same resource allocated for all executions of their activities, and who was the resource?	 	 					
	extra									Liste os casos e o recurso nos quais todas as atividades são tratadas por um mesmo recurso.	List the cases and the resource in which all activities are handled by the same resource.							
	extra									Liste os casos e o recurso nos quais as atividades foram todas alocadas para um mesmo recurso.	List the cases and the resource in which activities were all allocated to the same resource.							
	extra									Encontre os casos e o recurso onde as atividades são todas tratadas pelo mesmo recurso.	Find the cases and the resource where activities are all handled by the same resource.							
	extra									Encontre os casos e o recurso onde todas as atividades foram alocadas para um mesmo recurso.	Find the cases and the resource where all activities were allocated to the same resource.							
	extra									Para os casos em que as atividades são todas tratadas pelo mesmo recurso, identifique o caso e esse recurso.	For cases in which activities are all handled by the same resource, identify the case and this resource.							
	extra									Para os casos em que todas as atividades foram alocadas para o mesmo recurso, identifique o caso e esse recurso.	For cases in which all activities were allocated to the same resource, identify the case and this resource.							
								(Paráfrases de Ais) ✅		(fazer mais - olhar inglês) ✅		 	 					
																		
52	medium	SELECT log1.idcase FROM log1 WHERE log2.idcase = 'terminal' AND log6.enddatetime BETWEEN 'terminal' AND 'terminal'	SELECT * FROM log5 WHERE activity = 'Closed' AND startdatetime BETWEEN '2011-01-01 00:00:00' AND '2012-12-31 23:59:59'	2735	2735			Original		Quais casos chegaram na atividade 'Closed' entre 2011 e 2012?	Which cases got in the 'Closed' activity between 2011 and 2012?	SELECT * FROM log5_excerpt23 WHERE activity = 'Closed' AND startdatetime BETWEEN '2011-01-01 00:00:00' AND '2012-12-31 23:59:59';	Quais casos chegaram na atividade 'fim da viagem' entre 2016 e 2017?	Which cases got in the 'end trip' activity between 2016 and 2017?	SELECT DISTINCT idcase FROM events_log WHERE activity = 'End trip' AND timestamp BETWEEN '2016-01-01' AND '2018-01-01'	S	casos	
	medium									Quais casos passaram pela atividade 'closed' entre 2011 e 2012?	Which cases passed through the activity 'Closed' between 2011 and 2012?	 	 					
	medium									Em quais casos a atividade 'Closed' foi executada entre 2011 e 2012?	In which cases the activity 'Closed' was executed between 2011 and 2012?							
	medium									Em quais instâncias de processos a atividade 'closed' foi executada entre 2011 e 2012?	In which process instances the activity 'Closed' was executed between 2011 and 2012?							
	medium									Liste os casos que chegaram na atividade 'Closed' entre 2011 e 2012.	List the cases that got to the activity 'Closed' between 2011 and 2012.							
	medium									Liste os casos que passaram pela atividade 'Closed' entre 2011 e 2012.	List the cases that passed through to the activity 'Closed' between 2011 and 2012.							
	medium									Liste os casos em que a atividade 'Closed' foi executada entre 2011 e 2012.	List the cases in which the activity 'Closed' was executed between 2011 and 2012.							
	medium									Liste as instâncias de processo que chegaram na atividade 'Closed' entre 2011 e 2012.	List the process instances that got to the activity 'Closed' between 2011 and 2012.							
	medium									Liste as instâncias de processo que passaram pela atividade 'Closed' entre 2011 e 2012.	List the process instances that passed through to the activity 'Closed' between 2011 and 2012.							
	medium									Liste as instâncias de processo em que a atividade 'Closed' foi executada entre 2011 e 2012.	List the process instances in which the activity 'Closed' was executed between 2011 and 2012.							
								(Paráfrases Thais) ✅		(fazer mais - olhar inglês) ✅	 	 	 					
																		
53	extra	SELECT log1.activity FROM log1	SELECT * FROM log5 WHERE activity LIKE '%assign%' OR activity LIKE '%Assign%'	2736	2736			*Original - mal formulada		Listar todos os logs de atividades relacionadas a atribuição ("assign" no nome)	List all assignment-related ("assign" in the name) activities in the log	SELECT * FROM log5_excerpt23 WHERE activity LIKE '%assign%' OR activity LIKE '%Assign%'	Apresente todas as informações sobre eventos que envolvam a execução de uma atividade com "rejeitada" no nome.	Show all information about events that involve the execution of an activity with "rejected" in its name.	SELECT * FROM events_log WHERE activity LIKE '%rejected%' 	S	eventos	
	extra									Listar todos os dados de todos os eventos relacionados à execução de atividades que tenham "assign" em seu nome.	List all data of all events related to the execution of activities that have "assign" in their name.	 	 					
	extra									Apresente todas as informações sobre eventos que envolvam a execução de uma atividade com "assign" no nome.	Show all information about events that involve the execution of an activity with "assign" in its name.							
	extra									Para todas as execuções de uma atividade com "assign" no nome, apresente todas as informações do evento correspondente.	For all executions of an activity with "assign" in its name, show all information on the corresponding event.							
	extra									Para todas as execuções de uma atividade cujo nome contém "assign", apresente todas as informações do evento associado.	For all executions of an activity the name of which contains "assign", show all information on the associated event.							
	extra									Para todas as execuções de uma atividade cujo nome contém "assign", apresente todas as informações disponíveis do evento correspondente.	For all executions of an activity whose name contains "assign", show all available information on the corresponding event.							
	extra									Apresente toda a informação disponível de eventos associados a uma atividade contendo "assign" em seu nome.	Show all available information on events associated with an activity containing "assign" in its name.							
								(Paráfrases de Ais) ✅		(fazer mais - olhar inglês) ✅	 	 	 					
																		
54	medium	SELECT Min(log1.costevent), Max(log1.costevent), Max(log1.costevent) FROM log1 WHERE log1.idcase = 'terminal' GROUP BY log1.idcase	SELECT idcase, MIN(costevent), MAX(costevent) FROM log8 GROUP BY idcase HAVING MAX(costevent) > 0	2737	2737			*Original - o sentido está ok mas achei que "válido" fica implícito ser maior que 0.	 	Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo válido preenchido para reembolso	List the minimum and maximum costs recorded for each case that had a valid maximum cost filled in for reimbursement	SELECT idcase,MIN(costevent),MAX(costevent) FROM log8_excerpt37 GROUP BY idcase HAVING MAX(costevent) > 0	Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo é maior que zero?		SELECT idcase, MIN(cost), MAX(cost) FROM events_log GROUP BY idcase HAVING MAX(cost) > 0	S	casos	
	medium							* ser informado tb fica implícito - parece que aqui deveria ser IS NOT NULL		Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo é informado?	Which are the minimum and maximum costs registered for each case in which the maximum cost is informed?	 	 					
	medium							Aqui está explícito.		Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo é maior que zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost is greater than zero?	 	 					
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado é maior que zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost informed is higher than zero?							
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado é superior a zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost informed is greater than zero?							
	medium									Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo informado	List the minimum and maximum costs registered for each case in which the maximum cost is informed							
	medium									Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo é maior que zero	List the minimum and maximum costs registered for each case in which the maximum cost informed is higher than zero							
	medium									Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo é superior a zero	List the minimum and maximum costs registered for each case in which the maximum cost informed is greater than zero?							
	medium									Listar os custos mínimos e máximos registrados para cada caso em que o custo máximo válido para reembolso foi preenchido	List the minimum and maximum costs registered for each case in which the maximum valid cost was informed							
	medium									Listar os custos mínimos e máximos registrados para cada caso em que o custo máximo é informado	List the minimum and maximum costs registered for each case in which the maximum cost is informed							
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo foi informado?	List the minimum and maximum costs registered for each case in which the maximum cost was informed							
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado foi maior que zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost informed was higher than zero?							
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado foi superior a zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost informed was greater than zero?							
								(Paráfrases Thais) ✅		(fazer mais - olhar inglês) ✅								
																		
55	extra	SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal' OR log1.costevent = 'terminal' UNION SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal'	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime FROM log8 as INI JOIN log8 as FIM ON INI.idcase = FIM.idcase WHERE INI.idevent != FIM.idevent AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8 WHERE idcase = INI.idcase) AND FIM.activity = 'Declaration REJECTED by EMPLOYEE' OR FIM.activity = 'Payment Handled' OR FIM.activity = 'End trip'	2738	2738			Original (considerando que apenas uma informação é devolvida)		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente ao final da viagem ('End trip') e até possíveis atividades finais de rejeição ('Declaration REJECTED by EMPLOYEE') ou de pagamento entregue ('Payment Handled')	Show how long it took from the first event of a case to the event referring to the end of the trip ('End trip') and to possible final activities of rejection ('Declaration REJECTED by EMPLOYEE') or payment delivering ('Payment Handled')	SELECT FIM.enddatetime - INI.enddatetime AS elapsedtime FROM log8_excerpt37 INI, log8_excerpt37 FIM WHERE INI.idevent <> FIM.idevent AND INI.idcase = FIM.idcase AND FIM.activity IN ('Declaration REJECTED by EMPLOYEE', 'Payment Handled', 'End trip') AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8_excerpt37 WHERE idcase = INI.idcase)	Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade que indica 'fim de viagem' ou até eventos relacionados a atividades que indicam 'declaração rejeitada pelo funcionário' ou relacionados a atividades que indicam 'pagamento efetuado'.			N	casos	Precisa rever como realizar essas consultas que envolvem diferença de timestamp
	extra							é bacana mas talvez esteja muito contextualizada		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade que indica fim de viagem ('End trip') ou até eventos relacionados a atividades que indicam rejeição de entrega de declaração ('Declaration REJECTED by EMPLOYEE') ou relacionados a atividades que indicam pagamento realizado ('Payment Handled').	Show how long it took from the first event of a case until the event referring to the activity that indicates the end of the trip ('End trip') or until events related to activities that indicate rejection of declaration submission ('Declaration REJECTED by EMPLOYEE') or related to activities that indicate the payment being done ('Payment Handled').	nossa que consulta complexa - precisa analisar com calma e executá-la para ver se funciona mesmo.	 					
	extra							simplifiquei nessa paráfrase		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade 'End trip' ou 'Declaration REJECTED by EMPLOYEE' ou 'Payment Handled'.	Show how long it took from the first event of a case until the event referring to the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled'		 					
	extra									Calcule, para cada caso, o tempo decorrido do primeiro evento até o evento de interesse associado à atividade 'End trip' ou 'Declaration REJECTED by EMPLOYEE' ou 'Payment Handled', e apresente o tempo calculado.	Calculate, for each case, the time elapsed from the first event until the event of interest associated with the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled', and retrieve the case, the event of interest's activity and the calculated time. 							
								(Paráfrases de Ais)  ✅		(fazer mais - olhar inglês)  ✅	 		 					
																		
56	extra	SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal' OR log1.costevent = 'terminal' UNION SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal'	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime FROM log8 as INI JOIN log8 as FIM ON INI.idcase = FIM.idcase WHERE INI.idevent != FIM.idevent AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8 WHERE idcase = INI.idcase) AND FIM.activity = 'Declaration REJECTED by EMPLOYEE' OR FIM.activity = 'Payment Handled' OR FIM.activity = 'End trip'					nova consulta		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente ao final da viagem ('End trip') e até possíveis atividades finais de rejeição ('Declaration REJECTED by EMPLOYEE') ou de pagamento entregue ('Payment Handled'). Ainda, informe o caso e a atividade tratada como final nesse contexto.	Show how long it took from the first event of a case to the event referring to the end of the trip ('End trip') and to possible final activities of rejection ('Declaration REJECTED by EMPLOYEE') or payment delivering ('Payment Handled'). Furthermore, list the case and the activity deemed final in this context.	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime AS elapsedtime FROM log8_excerpt37 INI, log8_excerpt37 FIM WHERE INI.idevent <> FIM.idevent AND INI.idcase = FIM.idcase AND FIM.activity IN ('Declaration REJECTED by EMPLOYEE', 'Payment Handled', 'End trip') AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8_excerpt37 WHERE idcase = INI.idcase)	Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente ao 'fim de viagem' e até possíveis atividades 'declaração rejeitada pelo funcionário' ou de 'pagamento efetuado'. Ainda, informe o caso e a atividade tratada como final nesse contexto.			N	casos	Precisa rever como realizar essas consultas que envolvem diferença de timestamp, similar ao enunciado anterior.
	extra							Nova (considerando que três informações são devolvidas)		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade que indica fim de viagem ('End trip') ou até eventos relacionados a atividades que indicam rejeição de entrega de declaração ('Declaration REJECTED by EMPLOYEE') ou relacionados a atividades que indicam pagamento realizado ('Payment Handled'). Junto com eesse tempo, informe o caso e a atividade considerada como final desse intervalo.	Show how long it took from the first event of a case until the event referring to the activity that indicates the end of the trip ('End trip') or until events related to activities that indicate rejection of declaration submission ('Declaration REJECTED by EMPLOYEE') or related to activities that indicate the payment being done ('Payment Handled'). Alongside this duration, report the case and the activity considered as the interval's endpoint.	nossa que consulta complexa - precisa analisar com calma e executá-la para ver se funciona mesmo.	 					
	extra							simplifiquei nessa paráfrase		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade 'End trip' ou 'Declaration REJECTED by EMPLOYEE' ou 'Payment Handled'. Além desse tempo, devolva o caso e a atividade considerada como final desse intervalo.	Show how long it took from the first event of a case until the event referring to the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled'. In addition to this duration, return the case and the activity considered as the interval's endpoint.		 					
	extra							(considerando que a consulta retorna 3 informações) -Ais		Calcule, para cada caso, o tempo decorrido do primeiro evento até o evento de interesse associado à atividade 'End trip' ou 'Declaration REJECTED by EMPLOYEE' ou 'Payment Handled', e recupere o caso, a atividade do evento de interesse e o tempo calculado.	Calculate, for each case, the time elapsed from the first event until the event of interest associated with the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled', and retrieve the case, the event of interest's activity and the calculated time. 							
								(Paráfrases de Ais)  ✅		(fazer mais - olhar inglês)  ✅	 		 					
																		
57	easy	SELECT log1.resource FROM log1 WHERE log1.activity = 'terminal'	SELECT * FROM log6 WHERE activity IN ('Closed')	2741	2741			Original		Há algum registro de atividade 'Closed' no log? Se sim, mostrar dados do evento.	Are there any records of 'Closed' activity in the log? If yes, show event data.	SELECT * FROM log6_excerpt27 WHERE activity IN ('Closed')	Existem registros da atividade 'requisição de pagamento' no log de eventos? Se sim, mostre os dados dos eventos associados aos registros.	Are there records of activity 'request payment' in the event log? If yes, show the event data associated with the records	SELECT * FROM events_log WHERE activity='Request payment'	S	eventos	
	easy							*Apenas corrigindo a consulta do humana			Are there any records of activity 'Closed' in the event log? If yes, show event data.	SELECT * FROM log6 WHERE activity = 'Closed';	 					
	easy									Existem registros da atividade 'Closed' no log de eventos? Se sim, mostre os dados dos eventos associados aos registros	Are there records of activity 'Closed' in the event log? If yes, show the event data associated with the records	 	 					
	easy									Recupere os dados dos eventos associados às atividades 'Closed' existentes no log de eventos.	Retrieve event data associated with existing activities 'Closed' in the event log.	 	 					
																		
58	medium	SELECT Avg(log3.enddatetime), log2.activity FROM log2 GROUP BY log2.activity	SELECT T0.ACTIVITY, AVG(T0.ENDDATETIME - T1.ENDDATETIME) FROM LOG8 as T0 JOIN LOG8 as T1 ON T0.IDCASE = T1.IDCASE AND T0.IDEVENT = T1.IDEVENT + 1 GROUP BY T0.activity	2743	2743			Original imprecisa - não existe "tipo de atividade"		Qual o tempo de duração médio de cada tipo de atividade?	What is the average time duration of each type of activity?	SELECT ACTIVITY, AVG(DURATION) FROM (SELECT LOG1.ACTIVITY, LOG1.ENDDATETIME - LOG2.ENDDATETIME AS DURATION FROM PUBLIC.LOG8_EXCERPT40 LOG1 JOIN PUBLIC.LOG8_EXCERPT40 LOG2 ON LOG1.IDCASE = LOG2.IDCASE AND LOG1.IDEVENT = LOG2.IDEVENT + 1) AS ACTIVITY_DURATIONS GROUP BY ACTIVITY;	Qual o tempo de duração médio de cada atividade?			N	atividade	Precisa rever como realizar essas consultas que envolvem diferença de timestamp
	medium							Correto		Qual o tempo de duração médio de cada atividade?	What is the average time duration of each activity?	 	 					
	medium									Qual é o tempo de duração médio de cada atividade?								
	medium									Quanto dura, em média, cada atividade?	On average, how long does an activity last?	 	 					
	medium									Qual a duração média de cada atividade?	What is the average duration of each activity?							
	medium									Qual é a duração média de cada atividade?								
	medium									Qual é, em média, a duração de cada atividade?	On average, what is the average duration of each activity?							
	medium									Qual a média de duração de cada atividade?	What is the average of the duration of each activity?							
	medium									Qual é a média de duração de cada atividade?								
	medium									Quanto dura cada tipo de atividade em média?	How long does each type of activity last on average?							
	medium									Quanto dura cada atividade em média?	How long does each activity last on average?							
	medium									Informe o tempo de duração médio de cada tipo de atividade	Inform the average time duration of each type of activity							
	medium									Informe qual é o tempo de duração médio de cada atividade	Inform what is the average time duration of each activity							
	medium									Informe qual o tempo de duração médio de cada atividade								
	medium									Informe o tempo de duração médio de cada atividade	Inform the average time duration of each activity							
	medium									Informe quanto dura, em média, cada atividade	Inform how long, on average, an activity lasts							
	medium									Informe a duração média de cada tipo de atividade	Inform the average duration of each type of activity							
	medium									Informe qual é a duração média de cada atividade	Inform what is the average duration of each activity							
	medium									Informe qual a duração média de cada atividade								
	medium									Informe a duração média de cada atividade	Inform the average duration of each activity							
	medium									Informe qual é, em média, a duração de cada atividade	Inform what is, on average, the duration of each activity							
	medium									Informe qual é a média de duração de cada atividade	Inform what is the average of the duration of each activity							
	medium									Informe qual a média de duração de cada atividade								
	medium									Informe a média de duração de cada atividade	Inform the average of the duration of each type activity							
	medium									Informe quanto dura cada atividade em média	Inform how long does an activity last on average							
								(Paráfrases de Ais) ✅		(fazer mais - olhar inglês) ✅								
																		
59	extra	SELECT log3.idcase FROM log3 ORDER BY log3.costevent Desc LIMIT 1	SELECT DISTINCT IDCASE, COSTEVENT FROM log8 WHERE COSTEVENT = (SELECT MAX(COSTEVENT) FROM log8)	2744	2744			Original		Qual o caso com maior custo?	What is the case with the highest cost?	SELECT DISTINCT IDCASE, COSTEVENT FROM PUBLIC.LOG8_EXCERPT40 WHERE COSTEVENT = (SELECT MAX(COSTEVENT) FROM PUBLIC.LOG8_EXCERPT40);	Qual o caso com maior custo?		select idcase FROM events_log GROUP BY idcase ORDER BY SUM(cost) desc LIMIT 1	S	casos	
	extra									Qual é o caso que possui o mais alto custo?	What is the case that has the highest cost?	Essa consulta não resolve a requisição de case de mais alto custo, porque tem que SOMAR o custo de todos os eventos.	 					
	extra									Qual caso tem o custo máximo?	Which case has the maximum cost?							
	extra									Apresente o caso cujo custo é o mais alto.	Show the case whose cost is the highest.							
	extra									Apresente o caso cujo custo é o máximo.	Show the case the cost of which is the maximum.							
	extra									Apresente o caso de maior custo.	Show the case of highest cost.							
								(Paráfrases de Ais) ✅		(fazer mais - olhar inglês) ✅		Fazer outra consulta. Para esta criei outra requisição (nova consulta - abaixo)	 					
																		
60	?							nova consulta		Qual é o evento com maior custo?	What is the event with the highest cost?	 	Qual é o evento com maior custo?		SELECT max(cost) FROM events_log	S	eventos	
	?									Qual é o evento que possui o mais alto custo?	What is the event that has the highest cost?							
	?									Qual evento tem o custo máximo?	Which event has the maximum cost?							
	?									Qual evento tem o valor máximo de custo?	Which event has the maximum cost value?							
	?									Apresente o evento cujo custo é o mais alto.	Show the event whose cost is the highest.							
	?									Apresente o evento cujo custo é o máximo.	Show the event the cost of which is the maximum.							
	?									Apresente o evento de maior custo.	Show the event of highest cost.							
	?									Apresente o evento cujo valor de custo é o mais alto.	Show the event whose cost value is the highest.							
	?									Apresente o evento cujo valor de custo é o máximo.	Show the event the cost value of which is the maximum.							
	?									Apresente o evento de maior valor de custo.	Show the event of highest cost value.							
	?									Informe o evento cujo custo é o mais alto.	Inform the event whose cost is the highest.							
	?									Informe o evento cujo custo é o máximo.	Inform the event the cost of which is the maximum.							
	?									Informe o evento de maior custo.	Inform the event of highest cost.							
	?									Informe o evento cujo valor de custo é o mais alto.	Inform the event whose cost value is the highest.							
	?									Informe o evento cujo valor de custo é o máximo.	Inform the event the cost value of which is the maximum.							
	?									Informe o evento de maior valor de custo.	Inform the event of highest cost value.							
								(Paráfrases de Thais)  ✅		(fazer mais - olhar inglês) ✅	 	 	 					
																		
61	medium	SELECT log1.activity FROM log1 WHERE log1.activity = 'terminal'	SELECT * FROM log8 WHERE activity LIKE 'Start trip'	2745	2745			Original - o uso de "status" como sinônimo de atividade não está correto	 	Quais atividades existem com status 'Start trip'?	What activities exist with 'Start trip' status?	select * from public.log8_excerpt40 where activity like 'Start trip'	Liste os eventos, com seus atributos, que se referem à atividade 'início de viagem'		select * from events_log where activity = 'Start trip'	S	eventos	
	medium							Correto pensando na consulta realizada		Liste os eventos, com seus atributos, que se referem à atividade 'Start trip'	List the events, along with their attributes, referrring to the activity "Start trip"	 	 					
	medium									Liste os eventos, com seus respectivos atributos, que referem à atividade 'Start trip'	List the events, along with their respective attributes, referrring to the activity "Start trip"							
	medium									Liste os eventos, com seus atributos, que se referem à execução da atividade 'Start trip'	List the events, along with their attributes, referrring to the execution of the activity "Start trip"							
	medium									Liste os eventos, com seus respectivos atributos, que referem à execução da atividade 'Start trip'	List the events, along with their respective attributes, referrring to the execution of the activity "Start trip"							
	medium									Liste todas as informações disponíveis sobre os eventos que se referem à atividade 'Start trip'	List all the available information about the events referring to the activity "Start trip"							
	medium									Liste todas as informações disponíveis sobre os eventos  que se referem à execução da atividade 'Start trip'	List all the available information about the events referring to the execution of the activity "Start trip"							
	medium									Liste todas as informações disponíveis referentes aos eventos relacionado à execução da atividade 'Start trip'	List all the available information referring to the events related to the execution of the activity "Start trip"							
	medium									Liste todas as informações disponíveis referentes aos eventos resultante da execução da atividade 'Start trip'	List all the available information referring to the events resulting from the execution of the activity "Start trip"							
	medium									Apresente os eventos, com seus atributos, que se referem à atividade 'Start trip'	Show the events, along with their attributes, referrring to the activity "Start trip"							
	medium									Apresente os eventos, com seus respectivos atributos, que referem à atividade 'Start trip'	Show the events, along with their respective attributes, referrring to the activity "Start trip"							
	medium									Apresente os eventos, com seus atributos, que se referem à execução da atividade 'Start trip'	Show the events, along with their attributes, referrring to the execution of the activity "Start trip"							
	medium									Apresente todas as informações disponíveis sobre os eventos que se referem à atividade 'Start trip'	Show the events, along with their respective attributes, referrring to the execution of the activity "Start trip"							
	medium									Apresente todas as informações disponíveis sobre os eventos que referem à atividade 'Start trip'	Show all the available information about the events referring to the activity "Start trip"							
	medium									Apresente todas as informações disponíveis sobre os eventos  que se referem à execução da atividade 'Start trip'	Show all the available information about the events referring to the execution of the activity "Start trip"							
	medium									Apresente todas as informações disponíveis referentes aos eventos relacionado à execução da atividade 'Start trip'	Show all the available information referring to the events related to the execution of the activity "Start trip"							
	medium									Apresente todas as informações disponíveis referentes aos eventos resultante da execução da atividade 'Start trip'	Show all the available information referring to the events resulting from the execution of the activity "Start trip"							
								(Paráfrases de Thais)  ✅		(fazer mais - olhar inglês) ✅	 	 	 					
																		
62	medium	SELECT Count(*) FROM log2	SELECT activity, count(*) FROM log8 GROUP BY activity	2746	2746			Original - ok mas não esta precisa		Qual total de registros por atividades?	What total records by activities?	select activity, count(*) from public.log8_excerpt40 group by activity	Qual o total de execuções de cada atividade?		select activity, count(*) from events_log group by activity	S	atividade	Similar a 2679 e a nova consulta. No entanto, nessa não há ordenação.
	medium									Qual o total de execuções de cada atividade?	What is the total number of executions for each activity?	 	 					
	medium									Qual a quantidade total de execuções de cada atividade?	What is the total quantity of executions for each activity?							
	medium									Quantos eventos existem associados a cada atividade?	How many events are associated with each activity?	 	 					
	medium									Quantas vezes cada atividade foi executada?	How many times was each activity executed?							
	medium									Quantas execuções de cada atividade foram registradas?	How many executions of each actvity were registered?							
	medium										How many executions of each actvity were recorded?							
	medium									Para cada atividade, qual a quantidade de eventos relacionados à sua execução?	For each activity, what is the quantity of events related to its execution?							
	medium										For each activity, what is the number of events related to its execution?							
	medium									Para cada atividade, qual a quantidade de eventos resultantes da sua execução?	For each activity, what is the quantity of events resulting from its execution?							
	medium										For each activity, what is the number of events resulting from its execution?							
	medium									Quantos eventos estão associados à execução de cada atividade?	How many events are related to the execution of each activity?							
	medium									Informe qual o total de execuções de cada atividade	Inform what is the total number of executions for each activity							
	medium									Informe qual a quantidade total de execuções de cada atividade	Inform what is the total quantity of executions for each activity							
	medium									Informe quantos eventos existem associados a cada atividade	Inform how many events are associated with each activity							
	medium									Inform quantas vezes cada atividade foi executada	Inform how many times was each activity executed							
	medium									Informe quantas execuções de cada atividade foram registradas	Inform how many executions of each actvity were registered							
	medium										Inform how many executions of each actvity were recorded							
	medium									Informe, para cada atividade, qual a quantidade de eventos relacionados à sua execução	For each activity, inform what is the quantity of events related to its execution							
	medium										For each activity, inform what is the number of events related to its execution							
	medium									Informe, para cada atividade, qual a quantidade de eventos resultantes da sua execução	For each activity, inform what is the quantity of events resulting from its execution							
	medium										For each activity, inform what is the number of events resulting from its execution							
	medium									Informe quantos eventos estão associados à execução de cada atividade?	Inform how many events are related to the execution of each activity							
								(Paráfrases de Thais)  ✅		(fazer mais - olhar inglês) ✅								
																		
