1	Classificação Spider	Statement SQL gerado automaticamente	Statement SQL gerado pelo humano (corrigido?)			Acerto/errou	wh-question	Com asterisco = errada		Consulta em português	Consulta em inglês	Statement em SQL gerado pelo humano	 	
	?									"Quantas vezes o recurso ""Minnie"" esteve envolvido em um evento no ano de 2010?"	"How many times has the resource ""Minnie"" been involved in an event in the year 2010?"	 	 	
													 	
38	medium	SELECT * FROM log2 ORDER BY log2.startdatetime Desc LIMIT 1	SELECT activity, max(enddatetime) FROM log3 GROUP BY activity	2715	2715			Original (entendi mas está esquisita, e não sei se fui feliz ao arrumar)		Data mais recente da realização de cada atividade.	Most recent date of each activity.	SELECT activity,max(enddatetime) FROM log_numero3 GROUP BY activity	 	
	medium									Informe a data mais recente de realização de cada atividade.	Inform the most recent date of completion of each activity.		 	
	medium									Informe a data do evento mais recente referente a cada uma das atividades presentes no log de eventos.	Informe the date of the most recent event for each of the activities in the event log.	 	 	
	medium									Quais são as datas mais recentes de execução de cada uma das atividades presentes no log de eventos?	What are the most recent execution dates for each of the activities in the event log?	 	 	
	medium									Quando foi a ultima execução de cada uma das atividades presentes no log de eventos?	When was the last execution of each of the activities present in the event log?	 	 	
	medium							(essa aqui ficou bem contextualizada, mas acho que será complexa)		Quando foi a última execução de cada uma das atividades do processo de negócio representado pelo log de eventos?	When was the last execution of each of the business process activities represented by the event log?	 	 	
	medium									Para cada atividade pertinente ao log de eventos, informe a data da sua última ocorrência.	For each existing activity in the event log, enter the date of its last occurrence.	 	 	
													 	
39	extra	SELECT Count(*) FROM log1	SELECT activity, count(idevent) FROM log1 WHERE activity = 'Resolved' AND enddatetime BETWEEN '2020-01-01' AND '2020-12-31' GROUP BY activity UNION SELECT activity, count(idevent) FROM log1 WHERE activity = 'New' AND enddatetime > '2020-12-31' GROUP BY activity	2717	2717			*Original (a consulta é boa, mas precisa usar o nome da atividade como um label e não como uma semântica)		Contagem de atividade resolvidas em 2020 e novas em 2021	Count of activities resolved in 2020 and new in 2021	SELECT activity,count(idevent) FROM log_numero1 WHERE activity = 'Resolved' AND enddatetime BETWEEN '2020-01-01' AND '2020-12-31' GROUP BY activity UNION SELECT activity,count(idevent) FROM log_numero1 WHERE activity = 'New' AND enddatetime > '2020-12-31' GROUP BY activity	 	
	extra									"Quantas ocorrências da atividade ""resolved"" foram realizadas em 2020 e quantas ocorrências da atividade ""new"" foram realizadas em 2021?"	"How many occurrences of the activity ""resolved"" were performed in 2020 and how many occurrences of the activity ""new"" were performed in 2021?"	SELECT activity,count(*) FROM log_numero1 WHERE activity = 'Resolved' AND enddatetime BETWEEN '2020-01-01' AND '2020-12-31' GROUP BY activity UNION SELECT activity,count(*) FROM log_numero1 WHERE activity = 'New' AND enddatetime > '2020-12-31' GROUP BY activity	 	
	extra									"Quantas vezes a atividade ""resolved"" e a atividade ""new"" foram executadas, considerando respectivamente os anos de 2020 e 2021?"	"How many times were the activity ""resolved"" and the activity ""new"" executed, considering the years 2020 and 2021 respectively?"	 	 	
	extra							(já fiz com evento como paráfrase mesmo)		"Quantos eventos relacionados à atividade ""resolved"" ocorreram em 2020 e quantos relacionados à atividade ""new"" ocorreram em 2021?"	"How many events related to the activity ""resolved"" occurred in 2020 and how many related to the activity ""new"" occurred in 2021?"	 	 	
	extra									"Conte o número de vezes em que a atividade ""resolved"" foi executada em 2020 e o número de vezes que a atividade ""new"" foi executada em 2021."	"Count the number of times the activity ""resolved"" ran in 2020 and the number of times the activity ""new"" ran in 2021."	 	 	
	extra									"Liste o número de vezes em que: a atividade ""resolved"" foi realizada em 2020; a atividade ""new"" foi realizada em ""2021""."	"List the number of times that: the activity ""resolved"" was performed in 2020; the activity ""new"" was performed in ""2021""."	 	 	
													 	
40	medium	SELECT *, log2.enddatetime, log2.enddatetime FROM log2 ORDER BY log2.enddatetime Asc	SELECT activity, enddatetime, idevent FROM log1 ORDER BY enddatetime	2718	2718			Original (eu entendi, mas não se faz uma consulta assim, né?)		Tabela de atividade, data de término e id do evento ordenado pela data de término	Activity table, end date and event id sorted by end date	SELECT activity,enddatetime,idevent FROM log_numero1 ORDER BY enddatetime	 	
	medium							(eu achei uma consulta meio sem propósito, mas vale como treinamento e como teste)		Recupere a atividade, a data de término da execução e o identificador do evento e ordene o resultado pela data de término execução.	Retrieve the activity, run end date, and event identifier and sort the result by run end date.	 	 	
	medium									Recupere o nome da atividade, a data de término da execução e o identificador do evento e ordene por data de términoexecução.	Retrieve the activity name, run end date, and event identifier and sort by run end date.	 	 	
													 	
41	extra	SELECT Count(log1.activity) FROM log1	SELECT activity, count(idevent) FROM log4 WHERE resource = 'Joakim' AND activity = 'In Progress' GROUP BY activity	2719	2719			*Original		Total de atividades em progresso do Joakim	Joakim's total activities in progress	SELECT activity,count(idevent) FROM log_numero4 WHERE resource = 'Joakim' AND activity = 'In Progress' GROUP BY activity	 	
	extra							(arrumando o uso da semântica)		"Total de atividades ""in progress"" do Joakim"	"Joakim's total activities ""in progress"""	SELECT count(*) FROM log_numero4 WHERE resource = 'Joakim' AND activity = 'In Progress'	 	
	extra									"Em quantas ocorrências da atividade ""in progress"" o recurso Joakim este atuante?"	"In how many occurrences of the activity ""in progress"" is Joakim active?"	(simplifiquei, ver se funciona)	 	
	extra									"Quantas vezes o recurso ""Joakim"" atuou em execuções da atividade ""in progress""?"	"How many times did the resource ""Joakim"" act in executions of the activity ""in progress""?"	 	 	
	extra									"Compute a quantidade de ocorrência da atividade ""in progress"" executada pelo recurso Joakim."	"Compute the number of occurrences of the activity ""in progress"" performed by the Joakim resource."	 	 	
	extra									"Informe o número de vezes em que o recurso Joakin executou a atividade ""in progress""."	"Inform the number of times the Joakin resource carried out the activity ""in progress""."	 	 	
													 	
42	extra	SELECT Count(log1.costevent) FROM log1 WHERE log1.costevent = 'terminal'	SELECT resource, count(idevent) FROM log4 WHERE resource = 'Priscila' AND costevent != 'null' GROUP BY resource	2720	2720			*Original		Contagem de eventos do recurso Priscila na qual a informação de custo está disponível	Priscilla resource event count in which cost information is available	SELECT resource,count(idevent) FROM log_numero4 WHERE resource = 'Priscila' AND costevent IS NOT NULL GROUP BY resource	 	
	extra									Em quantos eventos associados ao recurso Priscila existe a informação de custo?	In how many events associated with the resource Priscila is there cost information?	A consulta traz mais coisas do que a requisição solicitou - simplifiquei - verificar	 	
	extra									Liste a quantidade de eventos em que o recurso Priscilla trabalhou e que possui um custo associado	List the number of events that resource Priscilla worked on that have an associated cost	SELECT count(idevent) FROM log_numero4 WHERE resource = 'Priscila' AND costevent IS NOT NULL	 	
	extra									Conte quantos eventos com custo associado está atrelado ao recurso Priscila.	Count how many events with an associated cost are linked to the resource Priscila.	 	 	
													 	
43	?						nova consulta	fiz uma nova requisição para a consulta SQL original acima		"Informe o nome das atividades em que o recurso ""Priscilla"" atuou e quantos eventos estão associados a elas com existência de custo."	"Inform the name of the activities in which the resource ""Priscilla"" acted and how many events are associated with them with the existence of a cost."	SELECT resource,count(idevent) FROM log_numero4 WHERE resource = 'Priscila' AND costevent IS NOT NULL GROUP BY resource	 	
	?							(não sei se ficou bom não, achei difícil fazer)		Quantos eventos estão associados ao recurso Priscilla com existência de custo. Agrupe a resposta por nome de atividade.	How many events are associated with the resource Priscilla with the existence of costs. Group the response by activity name.	 	 	
													 	
44	medium	SELECT Count(DISTINCT log1.resource) FROM log1 GROUP BY log1.resource HAVING Count(*) > 'terminal'	SELECT idcase, count(DISTINCT idevent), count(DISTINCT resource) FROM log3 GROUP BY idcase HAVING count(DISTINCT idevent) > 3	2721	2721			Original		Quantos resources atuam em um case que contém mais de 3 eventos?	How many resources work on a case that contains more than 3 events?	select idcase, count(distinct idevent) as qtn_events, count(distinct resource) as qnt_resources from log3_excerpt15 group by idcase having count(distinct idevent) > 3	 	
	medium							refinando		Quantos recursos atuam em casos que contèm mais de 3 eventos.	How many resources act on cases that contain more than 3 events.	(eu acho que a listagem do case ID não é clara na consulta) - precisa dele pra rodar?	 	
	medium									Conte os recursos atuantes em casos que contém mais de 3 eventos.	Count active resources on cases containing more than 3 events.	select count(idevent) as qtn_events, count(distinct resource) as qnt_resources from log3_excerpt15 group by idcase having count(distinct idevent) > 3	 	
	medium									Liste a quantidade de recursos que atuaram em casos que possuem mais de 3 eventos.	List the number of resources that acted in cases that have more than 3 events.	 	 	
	medium									Liste a quantidade de recursos associados a casos que possém mais de 3 eventos.	List the number of resources associated with cases that have more than 3 events.	 	 	
													 	
45	hard	SELECT log1.resource FROM log1 UNION SELECT log1.resource FROM log2 WHERE log2.activity = 'terminal'	SELECT DISTINCT resource FROM log3 WHERE activity IN (SELECT activity FROM log3 WHERE activity LIKE '%DECLINED%')	2722	2722			Original		Quais resources são responsáveis pela atividade de declined?	Which resources are responsible for the declined activity?	select DISTINCT resource from log3_excerpt15 where activity in ( select activity from log3_excerpt15 where activity like '%DECLINED%' )	 	
	hard							refinando		"Quais recursos são responsáveis pela atividade ""declined""?"	"What resources are responsible for the activity ""declined""?"	select DISTINCT resource from log3_excerpt15 where LIKE '%DECLINED%'	 	
	hard									"Liste os recursos que foram responsáveis por execuções da atividade ""declined""."	"List the resources that were responsible for activity ""declined"" runs."	 	 	
	hard									"Quais foram os recursos associados a instâncias das atividade ""declined""?"	"What were the resources associated with instances of the activity ""declined""?"	 	 	
	hard									"Informe os recursos que executaram a atividade ""declined""."	"Inform the resources that performed the activity ""declined""."	 	 	
	hard									"Recupere todos os recursos que foram responsáveis por executar a atividade ""declined""."	"Retrieve all resources that were responsible for running the activity ""declined""."	(simplifiquei, ver se funciona - ao simplificar a consulta fica easy, certo? Como lidar com isso?)	 	
													 	
46	medium	SELECT Count(*) FROM log3 JOIN log1 WHERE log1.idcase = 'terminal' AND log1.startdatetime BETWEEN 'terminal' AND 'terminal'	SELECT count(*) FROM log6 WHERE startdatetime BETWEEN '2012-01-01' AND '2012-05-30' AND activity = 'Closed'	2723	2723			*Original (uso da semântica no nome da atividade)		Quantos casos fechados existem no log de eventos entre os meses 01 e 05 de 2012?	How many closed cases are there in the event log between the 1st and 5th of 2012	select count(*) as closed_cases from log6_excerpt28 where startdatetime between '2012-01-01' and '2012-05-30' and activity = 'Closed'	 	
	medium							refinando		"Quantos casos passaram pela atividade ""closed"" entre os meses 01 e 05 de 2012?"	"How many cases went through the activity ""closed"" between the 1st and 5th of 2012?"	"Aqui eu acho que o asterisco dá problema, precisa colocar um ""distinct case ID"", não?"	 	
	medium							(consulta similar a outras anteriores - ver como tratar)		"Informe a quantidade de casos nos quais houve pelo menos uma execução da atividade ""closed"" entre janeiro e maio de 2012."	"Inform the number of cases in which there was at least one execution of the activity ""closed"" between January and May 2012."	 	 	
	medium									"Qual é a quantidade de cases, existente no log de eventos, que passou pela atividade ""closed"" entre janeiro e maio de 2012?"	"What is the number of cases, existing in the event log, that went through the activity ""closed"" between January and May 2012?"	 	 	
													 	
47	hard	SELECT log1.idcase FROM log1 WHERE log1.resource = 'terminal' EXCEPT SELECT log1.idcase FROM log1 WHERE log1.costevent = 'terminal'	SELECT * FROM log6 WHERE resource = 'Hineesh' EXCEPT SELECT * FROM log6 WHERE startdatetime BETWEEN '2012-01-01' AND '2012-02-01'	2724	2724			Original (não está formulada de forma precisa)		Quais cases o resource Hineesh trabalhou, menos os cases que ocorrem em janeiro	Which cases resource Hineesh worked, except the cases that occur in January	select * from log6_excerpt28 where resource = 'Hineesh' except select * from log6_excerpt28 where startdatetime between '2012-01-01' and '2012-02-01'	 	
	hard									Liste os casos nos quais o recurso Hineesh trabalhou, desconsiderando aqueles que possuem pelo menos um evento ocorrendo em janeiro.	List the cases that the Hineesh resource worked on, excluding those that have at least one event occurring in January.	"aqui tb precisa de um ""distinct case ID"", não?"	 	
	hard									Considerando casos que não tiveram eventos em janeiro, informe aqueles em que o recurso Hineesh trabalhou.	Considering cases that did not have events in January, report those that the Hineesh resource worked on.	(a consulta está trazendo todas as informações do caso, e não o case ID)	 	
	hard									Quais cases tiveram o recurso Hineesh associado e não tiveram eventos ocorrendo em janeiro.	Which cases had the Hineesh resource associated with it and had no events taking place in January.	 	 	
	hard									Desconsiderando casos que tiveream eventos ocorrendo em janeiro, quais são aqueles em que o recurso Hineesh trabalhou?	Disregarding cases that had events occurring in January, which ones did the Hineesh resource work on?	 	 	
													 	
48	medium	SELECT log2.idcase FROM log2 GROUP BY log2.idcase HAVING Count(*) > 'terminal'	SELECT idcase, count(idevent) FROM log6 GROUP BY idcase HAVING COUNT(idevent) > 3	2725	2725			Original		Casos que contém mais de 3 atividades	Cases containing more than 3 activities	select idcase, count(idevent) as qtn_events from log6_excerpt29 GROUP BY idcase HAVING COUNT(idevent) > 3	 	
	medium									Liste os identificadores de casos que possuem mais de 3 atividades diferentes executadas.	List case identifiers that have more than 3 different activities performed.	está errado (criei uma nova requisição baseada em evento para usar essa consulta SQL - acima)	 	
	medium									Quais são os cases que possuem mais de 3 atividades diferentes executadas?	What are the cases that have more than 3 different activities performed?	select idcase, count(distinct activity) as qtn_activities from log6_excerpt29 GROUP BY idcase HAVING COUNT(distinct activity) > 3	 	
	medium									Em quais cases houve mais de 3 atividades diferentes executadas?	In which cases were more than 3 different activities performed?		 	
													 	
49	?						nova consulta			Casos que contém mais de 3 eventos	Cases containing more than 3 events	select idcase, count(idevent) as qtn_events from log6_excerpt29 GROUP BY idcase HAVING COUNT(idevent) > 3	 	
	?									Liste os identificadores de casos que possuem mais de 3 eventos.	List case identifiers that have more than 3 events.		 	
	?									Quais são os cases que possuem mais de 3 eventos executados?	What are the cases that have more than 3 events executed?		 	
	?									Em quais cases houve a execução de mais de 3 eventos?	In which cases were more than 3 events executed?		 	
													 	
50	medium	SELECT Sum(log6.idcase), log2.idcase FROM log6 GROUP BY log2.idcase	SELECT idcase, max(startdatetime), min(startdatetime), (max(startdatetime) - min(startdatetime)) FROM log6 GROUP BY idcase	2726	2726			Original		Tempo total aproximado para cada case	Approximate total time for each case	select idcase, max(startdatetime) as max_start_date, min(startdatetime) as min_start_date, max(startdatetime) - min(startdatetime) as total_time from log6_excerpt29 group by idcase	 	
	medium									Quanto tempo durou cada caso?	How long did each case last?	select idcase, max(startdatetime) - min(startdatetime) as total_time from log6_excerpt29 group by idcase	 	
	medium									Calcule a duração aproximada de cada caso.	Calculate the approximate duration of each case.	(boa ideia)	 	
	medium									Qual é a duração de cada caso?	What is the duration of each case?		 	
	medium									Informe a duração de cada um dos casos.	Inform the duration of each case.		 	
													 	
51	extra	SELECT log1.resource FROM log2 UNION SELECT log2.idcase FROM log1	SELECT DISTINCT idcase, resource FROM log6 WHERE idcase NOT IN (SELECT DISTINCT T0.idcase FROM log6 as T0 join log6 AS T1 on T0.idcase = T1.idcase where T0.resource != T1.resource)	2734	2734			Original		Quais casos tiveram o mesmo recurso alocado para todas as suas atividades? Quem era o recurso?	Which cases had the same resource allocated for all their activities? Who was the resource?	"SELECT DISTINCT t.idcase,t.resource FROM log6_excerpt30 t WHERE resource = ALL (SELECT resource FROM log6_excerpt30 WHERE idcase = t.idcase);"	 	
	extra							parece boa, só dei uma refinadinha		Quais casos tiveram o mesmo recurso alocado para todas as execuções de suas atividades e qual era o recurso?	Which cases had the same resource allocated for all executions of their activities and what was the resource?	 	 	
	extra									Quais casos tiveram o mesmo recurso alocado para todas as execuções de suas atividades, e quem era o recurso?	Which cases had the same resource allocated for all executions of their activities, and who was the resource?	 	 	
	extra									Liste os casos e o recurso nos quais todas as atividades são tratadas por um mesmo recurso.	List the cases and the resource in which all activities are handled by the same resource.			
	extra									Liste os casos e o recurso nos quais as atividades foram todas alocadas para um mesmo recurso.	List the cases and the resource in which activities were all allocated to the same resource.			
	extra									Encontre os casos e o recurso onde as atividades são todas tratadas pelo mesmo recurso.	Find the cases and the resource where activities are all handled by the same resource.			
	extra									Encontre os casos e o recurso onde todas as atividades foram alocadas para um mesmo recurso.	Find the cases and the resource where all activities were allocated to the same resource.			
	extra									Para os casos em que as atividades são todas tratadas pelo mesmo recurso, identifique o caso e esse recurso.	For cases in which activities are all handled by the same resource, identify the case and this resource.			
	extra									Para os casos em que todas as atividades foram alocadas para o mesmo recurso, identifique o caso e esse recurso.	For cases in which all activities were allocated to the same resource, identify the case and this resource.			
	extra							(Paráfrases de Ais) 		(fazer mais - olhar inglês) 		 	 	
													 	
52	medium	SELECT log1.idcase FROM log1 WHERE log2.idcase = 'terminal' AND log6.enddatetime BETWEEN 'terminal' AND 'terminal'	SELECT * FROM log5 WHERE activity = 'Closed' AND startdatetime BETWEEN '2011-01-01 00:00:00' AND '2012-12-31 23:59:59'	2735	2735			Original		Quais casos chegaram na atividade 'Closed' entre 2011 e 2012?	Which cases got in the 'Closed' activity between 2011 and 2012?	"SELECT * FROM log5_excerpt23 WHERE activity = 'Closed' AND startdatetime BETWEEN '2011-01-01 00:00:00' AND '2012-12-31 23:59:59';"	 	
	medium									Quais casos passaram pela atividade 'closed' entre 2011 e 2012?	Which cases passed through the activity 'Closed' between 2011 and 2012?	 	 	
	medium									Em quais casos a atividade 'Closed' foi executada entre 2011 e 2012?	In which cases the activity 'Closed' was executed between 2011 and 2012?			
	medium									Em quais instâncias de processos a atividade 'closed' foi executada entre 2011 e 2012?	In which process instances the activity 'Closed' was executed between 2011 and 2012?			
	medium									Liste os casos que chegaram na atividade 'Closed' entre 2011 e 2012.	List the cases that got to the activity 'Closed' between 2011 and 2012.			
	medium									Liste os casos que passaram pela atividade 'Closed' entre 2011 e 2012.	List the cases that passed through to the activity 'Closed' between 2011 and 2012.			
	medium									Liste os casos em que a atividade 'Closed' foi executada entre 2011 e 2012.	List the cases in which the activity 'Closed' was executed between 2011 and 2012.			
	medium									Liste as instâncias de processo que chegaram na atividade 'Closed' entre 2011 e 2012.	List the process instances that got to the activity 'Closed' between 2011 and 2012.			
	medium									Liste as instâncias de processo que passaram pela atividade 'Closed' entre 2011 e 2012.	List the process instances that passed through to the activity 'Closed' between 2011 and 2012.			
	medium									Liste as instâncias de processo em que a atividade 'Closed' foi executada entre 2011 e 2012.	List the process instances in which the activity 'Closed' was executed between 2011 and 2012.			
	medium							(Paráfrases Thais) 		(fazer mais - olhar inglês) 	 	 	 	
													 	
53	extra	SELECT log1.activity FROM log1	SELECT * FROM log5 WHERE activity LIKE '%assign%' OR activity LIKE '%Assign%'	2736	2736			*Original - mal formulada		"Listar todos os logs de atividades relacionadas a atribuição (""assign"" no nome)"	"List all assignment-related (""assign"" in the name) activities in the log"	SELECT * FROM log5_excerpt23 WHERE activity LIKE '%assign%' OR activity LIKE '%Assign%'	 	
	extra									"Listar todos os dados de todos os eventos relacionados à execução de atividades que tenham ""assign"" em seu nome."	"List all data of all events related to the execution of activities that have ""assign"" in their name."	 	 	
	extra									"Apresente todas as informações sobre eventos que envolvam a execução de uma atividade com ""assign"" no nome."	"Show all information about events that involve the execution of an activity with ""assign"" in its name."			
	extra									"Para todas as execuções de uma atividade com ""assign"" no nome, apresente todas as informações do evento correspondente."	"For all executions of an activity with ""assign"" in its name, show all information on the corresponding event."			
	extra									"Para todas as execuções de uma atividade cujo nome contém ""assign"", apresente todas as informações do evento associado."	"For all executions of an activity the name of which contains ""assign"", show all information on the associated event."			
	extra									"Para todas as execuções de uma atividade cujo nome contém ""assign"", apresente todas as informações disponíveis do evento correspondente."	"For all executions of an activity whose name contains ""assign"", show all available information on the corresponding event."			
	extra									"Apresente toda a informação disponível de eventos associados a uma atividade contendo ""assign"" em seu nome."	"Show all available information on events associated with an activity containing ""assign"" in its name."			
	extra							(Paráfrases de Ais) 		(fazer mais - olhar inglês) 	 	 	 	
													 	
54	medium	SELECT Min(log1.costevent), Max(log1.costevent), Max(log1.costevent) FROM log1 WHERE log1.idcase = 'terminal' GROUP BY log1.idcase	SELECT idcase, MIN(costevent), MAX(costevent) FROM log8 GROUP BY idcase HAVING MAX(costevent) > 0	2737	2737			"*Original - o sentido está ok mas achei que ""válido"" fica implícito ser maior que 0."	 	Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo válido preenchido para reembolso	List the minimum and maximum costs recorded for each case that had a valid maximum cost filled in for reimbursement	SELECT idcase,MIN(costevent),MAX(costevent) FROM log8_excerpt37 GROUP BY idcase HAVING MAX(costevent) > 0	 	
	medium							* ser informado tb fica implícito - parece que aqui deveria ser IS NOT NULL		Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo é informado?	Which are the minimum and maximum costs registered for each case in which the maximum cost is informed?	 	 	
	medium							Aqui está explícito.		Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo é maior que zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost is greater than zero?	 	 	
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado é maior que zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost informed is higher than zero?			
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado é superior a zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost informed is greater than zero?			
	medium									Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo informado	List the minimum and maximum costs registered for each case in which the maximum cost is informed			
	medium									Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo é maior que zero	List the minimum and maximum costs registered for each case in which the maximum cost informed is higher than zero			
	medium									Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo é superior a zero	List the minimum and maximum costs registered for each case in which the maximum cost informed is greater than zero?			
	medium									Listar os custos mínimos e máximos registrados para cada caso em que o custo máximo válido para reembolso foi preenchido	List the minimum and maximum costs registered for each case in which the maximum valid cost was informed			
	medium									Listar os custos mínimos e máximos registrados para cada caso em que o custo máximo é informado	List the minimum and maximum costs registered for each case in which the maximum cost is informed			
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo foi informado?	List the minimum and maximum costs registered for each case in which the maximum cost was informed			
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado foi maior que zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost informed was higher than zero?			
	medium									Quais são os custos mínimos e máximos registrados para cada caso em que o custo máximo informado foi superior a zero?	Which are the minimum and maximum costs registered for each case in which the maximum cost informed was greater than zero?			
	medium							(Paráfrases Thais) 		(fazer mais - olhar inglês) 				
													 	
55	extra	SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal' OR log1.costevent = 'terminal' UNION SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal'	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime FROM log8 as INI JOIN log8 as FIM ON INI.idcase = FIM.idcase WHERE INI.idevent != FIM.idevent AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8 WHERE idcase = INI.idcase) AND FIM.activity = 'Declaration REJECTED by EMPLOYEE' OR FIM.activity = 'Payment Handled' OR FIM.activity = 'End trip'	2738	2738			Original (considerando que apenas uma informação é devolvida)		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente ao final da viagem ('End trip') e até possíveis atividades finais de rejeição ('Declaration REJECTED by EMPLOYEE') ou de pagamento entregue ('Payment Handled')	Show how long it took from the first event of a case to the event referring to the end of the trip ('End trip') and to possible final activities of rejection ('Declaration REJECTED by EMPLOYEE') or payment delivering ('Payment Handled')	SELECT FIM.enddatetime - INI.enddatetime AS elapsedtime FROM log8_excerpt37 INI, log8_excerpt37 FIM WHERE INI.idevent <> FIM.idevent AND INI.idcase = FIM.idcase AND FIM.activity IN ('Declaration REJECTED by EMPLOYEE', 'Payment Handled', 'End trip') AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8_excerpt37 WHERE idcase = INI.idcase)	 	
	extra							é bacana mas talvez esteja muito contextualizada		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade que indica fim de viagem ('End trip') ou até eventos relacionados a atividades que indicam rejeição de entrega de declaração ('Declaration REJECTED by EMPLOYEE') ou relacionados a atividades que indicam pagamento realizado ('Payment Handled').	Show how long it took from the first event of a case until the event referring to the activity that indicates the end of the trip ('End trip') or until events related to activities that indicate rejection of declaration submission ('Declaration REJECTED by EMPLOYEE') or related to activities that indicate the payment being done ('Payment Handled').	nossa que consulta complexa - precisa analisar com calma e executá-la para ver se funciona mesmo.	 	
	extra							simplifiquei nessa paráfrase		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade 'End trip' ou 'Declaration REJECTED by EMPLOYEE' ou 'Payment Handled'.	Show how long it took from the first event of a case until the event referring to the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled'		 	
	extra									Calcule, para cada caso, o tempo decorrido do primeiro evento até o evento de interesse associado à atividade 'End trip' ou 'Declaration REJECTED by EMPLOYEE' ou 'Payment Handled', e apresente o tempo calculado.	Calculate, for each case, the time elapsed from the first event until the event of interest associated with the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled', and retrieve the case, the event of interest's activity and the calculated time. 			
								(Paráfrases de Ais)  		(fazer mais - olhar inglês)  	 		 	
														
56	extra	SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal' OR log1.costevent = 'terminal' UNION SELECT log1.enddatetime FROM log1 WHERE log1.costevent = 'terminal'	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime FROM log8 as INI JOIN log8 as FIM ON INI.idcase = FIM.idcase WHERE INI.idevent != FIM.idevent AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8 WHERE idcase = INI.idcase) AND FIM.activity = 'Declaration REJECTED by EMPLOYEE' OR FIM.activity = 'Payment Handled' OR FIM.activity = 'End trip'	2738	2738			Nova (considerando que três informações são devolvidas)		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente ao final da viagem ('End trip') e até possíveis atividades finais de rejeição ('Declaration REJECTED by EMPLOYEE') ou de pagamento entregue ('Payment Handled'). Ainda, informe o caso e a atividade tratada como final nesse contexto.	Show how long it took from the first event of a case to the event referring to the end of the trip ('End trip') and to possible final activities of rejection ('Declaration REJECTED by EMPLOYEE') or payment delivering ('Payment Handled'). Furthermore, list the case and the activity deemed final in this context.	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime AS elapsedtime FROM log8_excerpt37 INI, log8_excerpt37 FIM WHERE INI.idevent <> FIM.idevent AND INI.idcase = FIM.idcase AND FIM.activity IN ('Declaration REJECTED by EMPLOYEE', 'Payment Handled', 'End trip') AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8_excerpt37 WHERE idcase = INI.idcase)	 	
	extra							é bacana mas talvez esteja muito contextualizada		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade que indica fim de viagem ('End trip') ou até eventos relacionados a atividades que indicam rejeição de entrega de declaração ('Declaration REJECTED by EMPLOYEE') ou relacionados a atividades que indicam pagamento realizado ('Payment Handled'). Junto com eesse tempo, informe o caso e a atividade considerada como final desse intervalo.	Show how long it took from the first event of a case until the event referring to the activity that indicates the end of the trip ('End trip') or until events related to activities that indicate rejection of declaration submission ('Declaration REJECTED by EMPLOYEE') or related to activities that indicate the payment being done ('Payment Handled'). Alongside this duration, report the case and the activity considered as the interval's endpoint.	nossa que consulta complexa - precisa analisar com calma e executá-la para ver se funciona mesmo.	 	
	extra							simplifiquei nessa paráfrase		Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente à atividade 'End trip' ou 'Declaration REJECTED by EMPLOYEE' ou 'Payment Handled'. Além desse tempo, devolva o caso e a atividade considerada como final desse intervalo.	Show how long it took from the first event of a case until the event referring to the activity 'End trip' or 'Declaration REJECTED by EMPLOYEE' or 'Payment Handled'. In addition to this duration, return the case and the activity considered as the interval's endpoint.		 	
